condition	n_molecules	n_tasks	n_seeds	mean_score	std_score	mean_best_parent_tanimoto	std_best_parent_tanimoto	scaffold_changed_fraction	same_scaffold_fraction	functional_group_changed_fraction	same_scaffold_functional_group_changed_fraction	mean_functional_group_delta_l1	mean_abs_heavy_atom_delta	mean_abs_ring_delta	mean_abs_aromatic_ring_delta	mean_abs_hetero_atom_delta	mean_abs_rotatable_bond_delta	mean_abs_tpsa_delta	mean_abs_logp_delta
full-spectrum	10783	20	6	0.5941487191584759	0.2853947315383452	0.4044116451100839	0.30146499347328903	0.5452100528609849	0.4547899471390151	0.8572753408142446	0.32337939348975236	7.431883520356116	3.018454975424279	0.5568023741073913	0.4535843457293888	1.1736993415561532	2.132337939348975	14.374795511453375	0.8326982481684128
high-only	8068	20	6	0.36429876759897023	0.2870996125600862	0.29333928570990425	0.26027791914869797	0.7497521070897373	0.2502478929102628	0.9439762022806147	0.21182449181953397	9.460213187902825	8.069286068418442	1.35932077342588	0.9693852255825484	2.0433812592959844	2.1928606841844323	23.699516608825046	1.2030307944967775
low-only	11021	20	6	0.6304787297400667	0.28632680019253887	0.45082487002510885	0.28046959135417043	0.5313492423555032	0.4686507576444969	0.9224208329552672	0.4108520097994737	7.711732147717993	3.2282007077397696	0.5646493058706107	0.3853552309227838	1.1581526177297885	2.3169403865347973	14.156594682878442	0.7997268124489622
random-matrix	11301	20	6	0.5868855250353608	0.3087056494765513	0.4919241934360941	0.27861712692955437	0.48544376603840367	0.5145562339615963	0.8997433855411026	0.4258915140253075	6.72020175205734	3.620476064065127	0.551544111140607	0.3856295903017432	1.249269976108309	1.5761437040969826	16.059470843288285	0.8019494991593666
