condition	seed	task_index	task	export_path	source	initial_unique	generated_unique_novel	seed_duplicate_rows	selected_top_n	valid_selected
full-spectrum	0	4	Albuterol_similarity	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Albuterol_similarity/generator_top_molecules.csv	generator-top	256	197	3	100	100
full-spectrum	0	5	Mestranol_similarity	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_5_Mestranol_similarity/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Mestranol_similarity/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	0	6	C11H24	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_6_C11H24/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_C11H24/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	0	7	C9H10N2O2PF2Cl	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_C9H10N2O2PF2Cl/generator_top_molecules.csv	generator-top	256	198	2	100	100
full-spectrum	0	8	Median_molecules_1	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_8_Median_molecules_1/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Median_molecules_1/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	0	9	Median_molecules_2	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_9_Median_molecules_2/compare_GuacaMol_20260824_150854/runs/spectralmol/seed_0/case_GuacaMol_20260824_150858/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_19/2026_08_24_evolution_ga_Median_molecules_2/generator_top_molecules.csv	generator-top	256	31	169	31	31
full-spectrum	1	0	Celecoxib_rediscovery	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Celecoxib_rediscovery/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	1	10	Osimertinib_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Osimertinib_MPO/generator_top_molecules.csv	generator-top	256	163	37	100	100
full-spectrum	1	11	Fexofenadine_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Fexofenadine_MPO/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	1	12	Ranolazine_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Ranolazine_MPO/generator_top_molecules.csv	generator-top	256	145	55	100	100
