condition	n_molecules	n_tasks	n_seeds	mean_score	std_score	mean_nearest_seed_tanimoto	std_nearest_seed_tanimoto	scaffold_changed_fraction	same_scaffold_fraction	functional_group_changed_fraction	same_scaffold_functional_group_changed_fraction	mean_functional_group_delta_l1	mean_abs_heavy_atom_delta	mean_abs_ring_delta	mean_abs_aromatic_ring_delta	mean_abs_hetero_atom_delta	mean_abs_rotatable_bond_delta	mean_abs_tpsa_delta	mean_abs_logp_delta
full-spectrum	10730	20	6	0.6141023839640979	0.28448205642588176	0.1753382839216786	0.06436856429629764	0.9895619757688723	0.01043802423112768	0.9996272134203169	0.01043802423112768	16.85834109972041	7.627493010251631	1.3398881640260951	1.088816402609506	2.498602050326188	3.685461323392358	34.02721342031731	1.7378785992544346
high-only	7931	20	6	0.35613217392056296	0.29138473213544674	0.15577742239998563	0.06377447111609963	0.9766738116252679	0.023326188374732063	0.9994956499810869	0.02294792586054722	14.471567267683772	9.694994326062288	1.5871895095196067	1.2272096835203632	2.556550245870634	2.487958643298449	36.1426188374736	1.6255484251670633
low-only	11176	20	6	0.6364693130859228	0.27181442213247026	0.18465544612181506	0.0642094237547804	0.9863099498926271	0.013690050107372943	0.9989262705798139	0.013690050107372943	17.75697924123121	8.002773801002148	1.3457408732999283	1.048765211166786	2.7213672154617035	4.211435218324982	37.197003400143345	1.745709602720119
random-matrix	11370	20	6	0.5967558128809564	0.30646541692813134	0.20369308589590515	0.06297199303407795	0.9867194371152155	0.013280562884784521	0.9998240985048373	0.013280562884784521	15.902726473175022	7.91820580474934	1.2006156552330696	0.9097625329815303	2.445646437994723	3.0268249780123133	34.22536059806513	1.5690074133685186
