condition	seed	task_index	task	best_score	avg_score	evaluated	scores_csv	compare_root
high-only	5	9	Median_molecules_2	0.3623715376697393	0.012263299017003558	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/high-only/seed_5/task_9_Median_molecules_2/compare_GuacaMol_20260824_153134/runs/spectralmol/seed_5/case_GuacaMol_20260824_153137/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_31_49/2026_08_24_evolution_ga_Median_molecules_2/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/high-only/seed_5/task_9_Median_molecules_2/compare_GuacaMol_20260824_153134
low-only	0	0	Celecoxib_rediscovery	1.0	0.06879222653312728	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_153235/runs/spectralmol/seed_0/case_GuacaMol_20260824_153235/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_32_38/2026_08_24_evolution_ga_Celecoxib_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_153235
low-only	0	10	Osimertinib_MPO	0.8012841587673166	0.027197848377836245	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_153326/runs/spectralmol/seed_0/case_GuacaMol_20260824_153326/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_33_29/2026_08_24_evolution_ga_Osimertinib_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_153326
low-only	0	11	Fexofenadine_MPO	1.0	0.15446843182970682	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_153326/runs/spectralmol/seed_0/case_GuacaMol_20260824_153326/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_33_29/2026_08_24_evolution_ga_Fexofenadine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_153326
low-only	0	12	Ranolazine_MPO	0.6925677830065992	0.0445860125894149	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_153337/runs/spectralmol/seed_0/case_GuacaMol_20260824_153339/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_33_50/2026_08_24_evolution_ga_Ranolazine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_153337
low-only	0	13	Perindopril_MPO	0.4284207088802645	0.007471526310458948	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_13_Perindopril_MPO/compare_GuacaMol_20260824_153332/runs/spectralmol/seed_0/case_GuacaMol_20260824_153333/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_33_36/2026_08_24_evolution_ga_Perindopril_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_13_Perindopril_MPO/compare_GuacaMol_20260824_153332
low-only	0	14	Amlodipine_MPO	0.8907739673281686	0.039655489505860946	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_153351/runs/spectralmol/seed_0/case_GuacaMol_20260824_153353/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_34_05/2026_08_24_evolution_ga_Amlodipine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_153351
low-only	0	15	Sitagliptin_MPO	0.6447440925300655	0.014884902213259488	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_153355/runs/spectralmol/seed_0/case_GuacaMol_20260824_153357/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_34_07/2026_08_24_evolution_ga_Sitagliptin_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_153355
low-only	0	16	Zaleplon_MPO	0.6983075798185957	0.01594526065096723	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_153359/runs/spectralmol/seed_0/case_GuacaMol_20260824_153401/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_34_12/2026_08_24_evolution_ga_Zaleplon_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_153359
low-only	0	17	Valsartan_smarts	0.0212118960310793	3.55385918565326e-05	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_17_Valsartan_smarts/compare_GuacaMol_20260824_153358/runs/spectralmol/seed_0/case_GuacaMol_20260824_153400/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_34_11/2026_08_24_evolution_ga_Valsartan_smarts/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_17_Valsartan_smarts/compare_GuacaMol_20260824_153358
