condition	mean_best_score	std_best_score	delta_vs_full	mean_elapsed_seconds	std_elapsed_seconds	speedup_vs_full	evals_per_second	budget_over_mean_elapsed	n_rows	n_tasks	n_seeds	n_failed
full-spectrum	0.7112210392440451	0.27702637026090116	0.0	204.61661604245504	85.3190554733253	1.0	63.80713478953765	97.74377265554175	120	20	6	0
high-only	0.664648835456127	0.2798048062438052	-0.046572203787918154	177.27205928961436	46.040363620425126	1.1542519270234635	73.64950828866971	112.82093794220236	120	20	6	0
low-only	0.7302580638089954	0.2817621577327307	0.019037024564950267	195.5661397020022	89.97075292308796	1.0462783401781295	66.76002307911962	102.26719221678864	120	20	6	0
random-matrix	0.7252499519948543	0.2785469691518234	0.014028912750809197	197.40608597596486	63.52774231878691	1.0365263818024744	66.13777855658225	101.31399901437231	120	20	6	0
