condition	seed	task_index	task	status	return_code	elapsed_seconds	source
full-spectrum	1	13	Perindopril_MPO	ok	0	252.53963828086853	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_13_Perindopril_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	14	Amlodipine_MPO	ok	0	273.3967673778534	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	15	Sitagliptin_MPO	ok	0	301.36018991470337	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_150847/model_runtime.tsv
full-spectrum	1	16	Zaleplon_MPO	ok	0	215.28677034378052	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	17	Valsartan_smarts	ok	0	271.24200892448425	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_17_Valsartan_smarts/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	18	Deco_hop	ok	0	263.14884853363037	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_18_Deco_hop/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	19	Scaffold_hop	ok	0	289.498220205307	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_19_Scaffold_hop/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	1	Troglitazone_rediscovery	ok	0	178.76428484916687	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_150845/model_runtime.tsv
full-spectrum	1	2	Thiothixene_rediscovery	ok	0	164.48889064788818	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_150845/model_runtime.tsv
full-spectrum	1	3	Aripiprazole_similarity	ok	0	174.32374095916748	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_150845/model_runtime.tsv
full-spectrum	1	4	Albuterol_similarity	ok	0	170.1107156276703	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150845/model_runtime.tsv
full-spectrum	1	5	Mestranol_similarity	ok	0	194.55507230758667	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_5_Mestranol_similarity/compare_GuacaMol_20260824_150847/model_runtime.tsv
full-spectrum	1	6	C11H24	ok	0	139.12735986709595	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_6_C11H24/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	7	C9H10N2O2PF2Cl	ok	0	150.80190753936768	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	8	Median_molecules_1	ok	0	185.22876596450806	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_8_Median_molecules_1/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	9	Median_molecules_2	ok	0	296.022358417511	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_9_Median_molecules_2/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	2	0	Celecoxib_rediscovery	ok	0	175.687180519104	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	2	10	Osimertinib_MPO	ok	0	149.0117266178131	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_151413/model_runtime.tsv
full-spectrum	2	11	Fexofenadine_MPO	ok	0	260.5531733036041	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_151413/model_runtime.tsv
full-spectrum	2	12	Ranolazine_MPO	ok	0	143.47298955917358	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_151408/model_runtime.tsv
full-spectrum	2	13	Perindopril_MPO	ok	0	240.0751988887787	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_13_Perindopril_MPO/compare_GuacaMol_20260824_151413/model_runtime.tsv
full-spectrum	2	14	Amlodipine_MPO	ok	0	220.46827340126038	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_151413/model_runtime.tsv
full-spectrum	2	15	Sitagliptin_MPO	ok	0	185.7324342727661	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_151408/model_runtime.tsv
full-spectrum	2	16	Zaleplon_MPO	ok	0	199.48006963729858	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_151357/model_runtime.tsv
full-spectrum	2	17	Valsartan_smarts	ok	0	176.2131049633026	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_17_Valsartan_smarts/compare_GuacaMol_20260824_151358/model_runtime.tsv
full-spectrum	2	18	Deco_hop	ok	0	179.33477520942688	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_18_Deco_hop/compare_GuacaMol_20260824_151358/model_runtime.tsv
full-spectrum	2	19	Scaffold_hop	ok	0	181.2209951877594	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_19_Scaffold_hop/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	2	1	Troglitazone_rediscovery	ok	0	180.88588333129883	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	2	2	Thiothixene_rediscovery	ok	0	176.50125813484192	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	2	3	Aripiprazole_similarity	ok	0	171.24674701690674	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	2	4	Albuterol_similarity	ok	0	168.25838017463684	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_4_Albuterol_similarity/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	2	5	Mestranol_similarity	ok	0	172.59410214424133	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_5_Mestranol_similarity/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	2	6	C11H24	ok	0	124.73462748527527	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_6_C11H24/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	2	7	C9H10N2O2PF2Cl	ok	0	132.07709288597107	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_151358/model_runtime.tsv
full-spectrum	2	8	Median_molecules_1	ok	0	170.31035733222961	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_8_Median_molecules_1/compare_GuacaMol_20260824_151408/model_runtime.tsv
full-spectrum	2	9	Median_molecules_2	ok	0	144.905699968338	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_9_Median_molecules_2/compare_GuacaMol_20260824_151413/model_runtime.tsv
full-spectrum	3	0	Celecoxib_rediscovery	ok	0	155.4582211971283	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_151353/model_runtime.tsv
full-spectrum	3	10	Osimertinib_MPO	ok	0	149.55350136756897	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_151408/model_runtime.tsv
full-spectrum	3	11	Fexofenadine_MPO	ok	0	292.4846193790436	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_151354/model_runtime.tsv
full-spectrum	3	12	Ranolazine_MPO	ok	0	245.25883388519287	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_151358/model_runtime.tsv
full-spectrum	3	13	Perindopril_MPO	ok	0	388.5396342277527	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_13_Perindopril_MPO/compare_GuacaMol_20260824_151354/model_runtime.tsv
full-spectrum	3	14	Amlodipine_MPO	ok	0	326.3716154098511	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_151358/model_runtime.tsv
full-spectrum	3	15	Sitagliptin_MPO	ok	0	329.5502395629883	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_151358/model_runtime.tsv
full-spectrum	3	16	Zaleplon_MPO	ok	0	309.10321378707886	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_151602/model_runtime.tsv
full-spectrum	3	17	Valsartan_smarts	ok	0	164.2260708808899	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_17_Valsartan_smarts/compare_GuacaMol_20260824_151613/model_runtime.tsv
full-spectrum	3	18	Deco_hop	ok	0	184.57739448547363	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_18_Deco_hop/compare_GuacaMol_20260824_151613/model_runtime.tsv
full-spectrum	3	19	Scaffold_hop	ok	0	721.8188798427582	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_19_Scaffold_hop/compare_GuacaMol_20260824_152105/model_runtime.tsv
full-spectrum	3	1	Troglitazone_rediscovery	ok	0	176.07502222061157	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	3	2	Thiothixene_rediscovery	ok	0	155.64415788650513	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_151352/model_runtime.tsv
full-spectrum	3	3	Aripiprazole_similarity	ok	0	205.43206524848938	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_151353/model_runtime.tsv
full-spectrum	3	4	Albuterol_similarity	ok	0	181.25538039207458	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_4_Albuterol_similarity/compare_GuacaMol_20260824_151357/model_runtime.tsv
full-spectrum	3	5	Mestranol_similarity	ok	0	188.80761051177979	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_5_Mestranol_similarity/compare_GuacaMol_20260824_151357/model_runtime.tsv
full-spectrum	3	6	C11H24	ok	0	131.1655592918396	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_6_C11H24/compare_GuacaMol_20260824_151357/model_runtime.tsv
full-spectrum	3	7	C9H10N2O2PF2Cl	ok	0	144.12635684013367	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_151408/model_runtime.tsv
full-spectrum	3	8	Median_molecules_1	ok	0	155.97317171096802	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_8_Median_molecules_1/compare_GuacaMol_20260824_151357/model_runtime.tsv
full-spectrum	3	9	Median_molecules_2	ok	0	141.24500584602356	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_3/task_9_Median_molecules_2/compare_GuacaMol_20260824_151408/model_runtime.tsv
full-spectrum	4	0	Celecoxib_rediscovery	ok	0	183.01890802383423	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_152109/model_runtime.tsv
full-spectrum	4	10	Osimertinib_MPO	ok	0	142.4372160434723	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_152103/model_runtime.tsv
full-spectrum	4	11	Fexofenadine_MPO	ok	0	236.05730414390564	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_152108/model_runtime.tsv
full-spectrum	4	12	Ranolazine_MPO	ok	0	152.0449938774109	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_152107/model_runtime.tsv
full-spectrum	4	13	Perindopril_MPO	ok	0	255.54736590385437	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_13_Perindopril_MPO/compare_GuacaMol_20260824_152107/model_runtime.tsv
full-spectrum	4	14	Amlodipine_MPO	ok	0	215.49501132965088	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_152107/model_runtime.tsv
