threshold	seed	budget	strategy	population_stage	rank_by_scalar	smiles	scaffold	scalar_objective	docking_raw	qed	sa	molwt	decode_reason	macro_count	source_file
-9.0	8	1000	theta_nsga2_multiobjective	archive	414	CC(=O)c1nnccc1OCc1ccc(C(F)(F)F)cc1	c1ccc(COc2ccnnc2)cc1	0.6769344806671143	-9.1	0.8124749728588588	2.300687917514397	296.248	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	415	N=C(Cl)c1ncccc1CCc1ccc(C(O)(F)F)cc1	c1ccc(CCc2cccnc2)cc1	0.6769109964370728	-9.9	0.8307918475310765	2.72752186976904	310.73099999999994	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	416	CC(=C=N)c1ccccc1OCc1ccc(C(F)(F)F)cn1	c1ccc(OCc2ccccn2)cc1	0.6769079566001892	-9.3	0.85449777123578	2.6198469385234535	306.2869999999999	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	419	O=C(Cc1ccc(Cl)cc1)Nc1ccccc1N1CCOC=COCC1	O=C(Cc1ccccc1)Nc1ccccc1N1CCOC=COCC1	0.6764515042304993	-9.6	0.8853368125719361	2.8846853943911164	372.85200000000026	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	1	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	422	CC(=C=O)c1ncccc1Cc1ccc(C(F)(F)F)cc1	c1ccc(Cc2cccnc2)cc1	0.6762627363204956	-9.9	0.8020739175478083	2.5905356628724885	291.272	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	423	O=C=C(Br)c1ccccc1Cc1ccc(C(O)(F)F)cc1	c1ccc(Cc2ccccc2)cc1	0.676179826259613	-9.8	0.8473120088123715	2.7857067504056445	353.16200000000003	THETA_LATE_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	424	C=C(O)c1ncccc1C=CCc1ccc(C(F)(F)F)cc1C	C(=Cc1cccnc1)Cc1ccccc1	0.6761380434036255	-10.6	0.7863873382474553	2.752416696050757	319.326	THETA_LATE_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	425	O=Cc1nnccc1CCc1ccc(C(F)(F)F)cc1	c1ccc(CCc2ccnnc2)cc1	0.6760805249214172	-9.7	0.808180453679145	2.550739971215613	280.2489999999999	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	428	CC(=C=O)c1cnccc1CCc1ccc(C(F)(F)F)cc1	c1ccc(CCc2ccncc2)cc1	0.6760439276695251	-10.0	0.7953347837892483	2.5952756900997453	305.299	THETA_LATE_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	429	C=C(O)c1ncncc1C=CCc1ccc(C(F)(F)F)cc1C	C(=Cc1cncnc1)Cc1ccccc1	0.6760175824165344	-10.5	0.8382426166806739	2.973487025721086	320.314	THETA_LATE_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
