generated_label	generated_seed	generated_smiles	generated_docking_raw	generated_qed	generated_sa	reference_label	reference_name	reference_smiles	feature	generated_has	reference_has	state	feature_jaccard_for_pair
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R1	ONC201	Cc1ccccc1CN1C(=O)C2=C(CCN(Cc3ccccc3)C2)N2CCN=C12	Halogen	1	0	generated_only	0.4286
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R2	ONC212	O=C1C2=C(CCN(Cc3ccccc3)C2)N2CCN=C2N1Cc1ccc(C(F)(F)F)cc1	H-bond donor	1	0	generated_only	0.5714
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R2	ONC212	O=C1C2=C(CCN(Cc3ccccc3)C2)N2CCN=C2N1Cc1ccc(C(F)(F)F)cc1	H-bond acceptor	1	1	shared	0.5714
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R2	ONC212	O=C1C2=C(CCN(Cc3ccccc3)C2)N2CCN=C2N1Cc1ccc(C(F)(F)F)cc1	Aromatic ring	1	1	shared	0.5714
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R2	ONC212	O=C1C2=C(CCN(Cc3ccccc3)C2)N2CCN=C2N1Cc1ccc(C(F)(F)F)cc1	Hydrophobic aryl/alkyl	1	1	shared	0.5714
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R2	ONC212	O=C1C2=C(CCN(Cc3ccccc3)C2)N2CCN=C2N1Cc1ccc(C(F)(F)F)cc1	Basic/positive N	0	1	reference_only	0.5714
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R2	ONC212	O=C1C2=C(CCN(Cc3ccccc3)C2)N2CCN=C2N1Cc1ccc(C(F)(F)F)cc1	Acidic/negative	1	0	generated_only	0.5714
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R2	ONC212	O=C1C2=C(CCN(Cc3ccccc3)C2)N2CCN=C2N1Cc1ccc(C(F)(F)F)cc1	Halogen	1	1	shared	0.5714
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R3	TR-107	N#Cc1cccc(CN2CCc3ncn(Cc4ccc(Cl)cc4)c(=O)c3C2)c1	H-bond donor	1	0	generated_only	0.5714
G5	2	O=C(O)c1ncccc1CCc1ccc(C(F)(F)F)cc1	-10.1	0.938	2.02	R3	TR-107	N#Cc1cccc(CN2CCc3ncn(Cc4ccc(Cl)cc4)c(=O)c3C2)c1	H-bond acceptor	1	1	shared	0.5714
