threshold	seed	hit_yield	modes	qed_mean_hits	sa_mean_hits	molwt_mean_hits
-9.0	0	341	74	0.8526020264838515	2.6770859993716973	307.46202346041053
-9.0	1	281	100	0.8495766141537964	2.679564578732837	321.106309608541
-9.0	2	306	101	0.8687691509558751	2.621617519281208	307.7061862745098
-9.0	3	290	95	0.8439383617633138	2.661212859655084	316.5128655172414
-9.0	4	300	86	0.8486898243766218	2.692730880718959	313.6239766666667
-9.0	5	289	95	0.8462309351356079	2.693759227716596	316.1210830449827
-9.0	6	296	87	0.8676858264851254	2.5983796221229123	305.84913851351354
-9.0	7	320	106	0.8427998810446983	2.6869678228082305	316.091065625
-9.0	8	410	115	0.8651804587723539	2.60001733999997	306.58934146341466
-9.0	9	329	90	0.8424887902321727	2.6681004868383833	313.005273556231
-10.0	0	13	8	0.8295411450943649	2.6621622099778355	302.44269230769225
-10.0	1	11	7	0.8455425719842917	2.829964483892719	316.1191818181818
-10.0	2	8	7	0.8891829936998447	2.4277937026727887	298.16074999999995
-10.0	3	6	5	0.815733456833802	2.6758534867940145	308.2393333333333
-10.0	4	14	9	0.8405708832761738	2.685197095992867	317.4275
-10.0	5	9	7	0.8251790429238439	2.6322929351958386	308.3114444444444
-10.0	6	6	5	0.8407731720169785	2.552810251066109	321.7445
-10.0	7	21	11	0.8237777242889417	2.7184614134968252	310.1075714285714
-10.0	8	28	15	0.8636930952515884	2.4666434012449656	306.82867857142855
-10.0	9	13	7	0.8132085458799797	2.5491642426638874	306.6916923076923
