seed	budget	strategy	population_stage	rank_by_scalar	smiles	scaffold	scalar_objective	docking_raw	qed	sa	molwt	decode_reason	macro_count	source_file	is_f1	crowding_distance
0	1000	theta_nsga2_multiobjective_final_population	final	1	NC(=O)c1ccccc1OCc1ccc(C(F)(F)F)cc1	c1ccc(COc2ccccc2)cc1	0.7443340420722961	-9.5	0.939700763557564	1.7293120554454315	295.25999999999993	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.03534338696254793
0	1000	theta_nsga2_multiobjective_final_population	final	3	O=C(Cc1ccccc1)Nc1ccccc1C(=O)N1CCOCC1	O=C(Cc1ccccc1)Nc1ccccc1C(=O)N1CCOCC1	0.735861599445343	-9.1	0.9389754673624761	1.7061862105834251	324.38000000000017	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.06007098445038207
0	1000	theta_nsga2_multiobjective_final_population	final	4	Cc1cccc(CCNC(=O)c2cccc(S(C)(=O)=O)c2)c1	O=C(NCCc1ccccc1)c1ccccc1	0.7328486442565918	-9.2	0.9206385208322588	1.719427014185495	317.4100000000001	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.0634540922000793
0	1000	theta_nsga2_multiobjective_final_population	final	5	NC(=O)c1ncccc1OCc1ccc(C(F)(F)F)cc1	c1ccc(COc2cccnc2)cc1	0.7312949895858765	-9.4	0.9431266983483158	2.014098792845962	296.24799999999993	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.06161839465173559
0	1000	theta_nsga2_multiobjective_final_population	final	9	CS(=O)(=O)c1ccccc1C(=O)NCCc1ccccc1	O=C(NCCc1ccccc1)c1ccccc1	0.72563236951828	-8.8	0.9193782118434051	1.6524968146955334	303.383	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.04187854128270727
0	1000	theta_nsga2_multiobjective_final_population	final	12	Cc1ccc(CNS(=O)(=O)c2ccc(C)cc2C)cc1	O=S(=O)(NCc1ccccc1)c1ccccc1	0.7215967178344727	-8.5	0.939836048016747	1.709161389797032	289.40000000000003	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.04059102539928948
0	1000	theta_nsga2_multiobjective_final_population	final	15	COc1ccccc1C(=O)NCCc1ccccc1F	O=C(NCCc1ccccc1)c1ccccc1	0.7212018966674805	-8.6	0.9093736148936845	1.5673052690756464	273.30699999999996	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.09628163275477056
0	1000	theta_nsga2_multiobjective_final_population	final	16	O=C(Nc1ccccc1C(=O)N1CCOCC1)c1ccccc1F	O=C(Nc1ccccc1C(=O)N1CCOCC1)c1ccccc1	0.7202610969543457	-8.5	0.9418973603774174	1.7587632387726266	328.3429999999999	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.024896604964608222
0	1000	theta_nsga2_multiobjective_final_population	final	21	CC(=O)N1CCc2cc(NC(=O)Cc3ccccc3C)ccc21	O=C(Cc1ccccc1)Nc1ccc2c(c1)CCN2	0.7198089361190796	-8.7	0.9470263635189201	1.925895512618803	308.38100000000003	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.0419399739906794
0	1000	theta_nsga2_multiobjective_final_population	final	24	COc1cccc(CNC(=O)c2cc(C)cc(C)c2)c1	O=C(NCc1ccccc1)c1ccccc1	0.7187585234642029	-8.4	0.924984080473435	1.61384738879803	269.344	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.05505366364375425
0	1000	theta_nsga2_multiobjective_final_population	final	25	CC(=O)N1CCN(C(=O)c2ccccc2Nc2ccccc2)CC1	O=C(c1ccccc1Nc1ccccc1)N1CCNCC1	0.716334342956543	-8.3	0.9447835369463525	1.7511859812475414	323.39600000000013	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.04246038979648574
0	1000	theta_nsga2_multiobjective_final_population	final	26	COc1ccc(C)cc1C(=O)NCc1ccc(C)c(F)c1	O=C(NCc1ccccc1)c1ccccc1	0.7162560224533081	-8.3	0.9358504473876227	1.6921231960289873	287.334	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.048263994055595054
0	1000	theta_nsga2_multiobjective_final_population	final	29	COc1cc(C)ccc1NC(=O)Cc1ccc(C)cc1	O=C(Cc1ccccc1)Nc1ccccc1	0.7158524394035339	-8.2	0.9222749214685005	1.5330624986881407	269.34399999999994	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.06358144415657735
0	1000	theta_nsga2_multiobjective_final_population	final	30	O=C(Cc1ccc(Cl)cc1F)NCc1ccccc1	O=C(Cc1ccccc1)NCc1ccccc1	0.715668797492981	-8.4	0.9123861188803425	1.6084822768578508	277.726	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.09448900062926638
0	1000	theta_nsga2_multiobjective_final_population	final	31	COc1ccccc1CNC(=O)Cc1cccc(Cl)c1	O=C(Cc1ccccc1)NCc1ccccc1	0.7150465846061707	-8.3	0.9177643581749801	1.5955149856748392	289.76199999999994	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.02557945939227274
0	1000	theta_nsga2_multiobjective_final_population	final	44	O=C(CN1CCCc2ccccc21)Nc1ccccc1	O=C(CN1CCCc2ccccc21)Nc1ccccc1	0.7100616693496704	-8.1	0.9256100240714615	1.652110841023772	266.34400000000005	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.03559108804288591
0	1000	theta_nsga2_multiobjective_final_population	final	47	COc1ccc(NC(=O)Cc2ccccc2)cc1Cl	O=C(Cc1ccccc1)Nc1ccccc1	0.7097040414810181	-7.8	0.9269281933053852	1.4444976614732354	275.735	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.0642702903850426
0	1000	theta_nsga2_multiobjective_final_population	final	49	Cc1ccc(C(=O)Nc2cccc(NC(=O)C3CC3)c2)cc1	O=C(Nc1cccc(NC(=O)C2CC2)c1)c1ccccc1	0.7090438008308411	-8.1	0.9049016336372147	1.5262327864671548	294.354	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.060692721385066636
0	1000	theta_nsga2_multiobjective_final_population	final	50	COc1cccc(C(=O)Nc2ccccc2Br)c1	O=C(Nc1ccccc1)c1ccccc1	0.7088816165924072	-7.7	0.938518560610104	1.4797846567611455	306.159	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.04170890078258338
0	1000	theta_nsga2_multiobjective_final_population	final	51	Cc1cccc(NC(=O)COc2ccc(Br)cc2)c1	O=C(COc1ccccc1)Nc1ccccc1	0.7086355686187744	-7.8	0.9310257292999561	1.509384840960415	320.18600000000004	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.05194826561943852
0	1000	theta_nsga2_multiobjective_final_population	final	54	Cc1cccc(NC(=O)CN(C)C(=O)c2ccccc2)c1	O=C(CNC(=O)c1ccccc1)Nc1ccccc1	0.7073779106140137	-7.8	0.9370076138751453	1.5915596569380348	282.343	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.032343197015233034
0	1000	theta_nsga2_multiobjective_final_population	final	56	O=C(NCC(=O)N1CCN(c2ccccc2)CC1)c1ccccc1	O=C(NCC(=O)N1CCN(c2ccccc2)CC1)c1ccccc1	0.7070409655570984	-7.9	0.9328010525654551	1.645049507286723	323.396	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.10134823527552078
0	1000	theta_nsga2_multiobjective_final_population	final	61	O=S(=O)(NCc1ccc(Cl)cc1)c1ccc(Cl)cc1	O=S(=O)(NCc1ccccc1)c1ccccc1	0.7061859369277954	-7.7	0.9385942110343949	1.5615998869207441	316.20900000000006	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.014857135212557014
0	1000	theta_nsga2_multiobjective_final_population	final	67	Cc1ccc(NC(=O)CN2Cc3ccccc3C2=O)cc1Cl	O=C(CN1Cc2ccccc2C1=O)Nc1ccccc1	0.7050103545188904	-8.1	0.9451752400616532	1.9165044986259652	314.77200000000005	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.050767689767188165
0	1000	theta_nsga2_multiobjective_final_population	final	68	Cc1ccc(C)c(NC(=O)CN2C(=O)CCc3ccccc32)c1	O=C(CN1C(=O)CCc2ccccc21)Nc1ccccc1	0.7049263715744019	-8.0	0.9461993600299369	1.8612488853998705	308.381	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.08869606479172179
