threshold	method	successful_replicates	n_expected_seeds	modes_mean	modes_std	yield_mean	yield_std	qed_mean	qed_std	sa_mean	sa_std	molwt_mean	molwt_std	pooled_qed_mean	pooled_qed_std	pooled_sa_mean	pooled_sa_std	pooled_molwt_mean	pooled_molwt_std	source
-9.0	Saturn*	10	10	38.0	13.0	83.0	33.0	0.8	0.05	2.1	0.1	343.3	6.2							Guo et al. Saturn Experiment 2, as reported in manuscript Table 8
-9.0	SpectralMol	10	10	103.7	17.757940321006952	324.9	31.363283558255752	0.8542964823345599	0.009488672959649428	2.674368925418951	0.04073845598754317	314.8367274822688	6.43823847158283	0.854438342054143	0.04169467228390387	2.6732705592335475	0.2620728664781201	314.3676026469683	23.452956996334805	
-10.0	Saturn*	9	10	3.0	1.0	4.0	2.0	0.72	0.16	2.26	0.16	379.9	18.8							Guo et al. Saturn Experiment 2, as reported in manuscript Table 8
-10.0	SpectralMol	10	10	7.9	2.0789954839350235	13.0	4.69041575982343	0.8505032784792711	0.022024083595481313	2.6826647665595034	0.10135421374901148	311.28474783455675	5.639390232891893	0.8523436497228537	0.04704355562934375	2.6618429723161676	0.27841491315228595	310.8926307692308	17.824038081240978	
