seed	budget	strategy	population_stage	rank_by_scalar	smiles	scaffold	scalar_objective	docking_raw	qed	sa	molwt	decode_reason	macro_count	source_file	is_f1	crowding_distance
0	1000	theta_nsga2_multiobjective_final_population	final	1	NC(=O)c1ccccc1OCc1ccc(C(F)(F)F)cc1	c1ccc(COc2ccccc2)cc1	0.7443340420722961	-9.5	0.939700763557564	1.7293120554454315	295.25999999999993	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.03444430131965862
0	1000	theta_nsga2_multiobjective_final_population	final	2	O=C(Cc1ccccc1)Nc1ccccc1C(=O)N1CCOCC1	O=C(Cc1ccccc1)Nc1ccccc1C(=O)N1CCOCC1	0.735861599445343	-9.1	0.9389754673624761	1.7061862105834251	324.38000000000017	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.05914272401208431
0	1000	theta_nsga2_multiobjective_final_population	final	3	Cc1cccc(CCNC(=O)c2cccc(S(C)(=O)=O)c2)c1	O=C(NCCc1ccccc1)c1ccccc1	0.7328486442565918	-9.2	0.9206385208322588	1.719427014185495	317.4100000000001	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.059997092151478915
0	1000	theta_nsga2_multiobjective_final_population	final	7	CS(=O)(=O)c1ccccc1C(=O)NCCc1ccccc1	O=C(NCCc1ccccc1)c1ccccc1	0.72563236951828	-8.8	0.9193782118434051	1.6524968146955334	303.383	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.03353100317154769
0	1000	theta_nsga2_multiobjective_final_population	final	11	Cc1ccc(CNS(=O)(=O)c2ccc(C)cc2C)cc1	O=S(=O)(NCc1ccccc1)c1ccccc1	0.7215967178344727	-8.5	0.939836048016747	1.709161389797032	289.40000000000003	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.0394327039111511
0	1000	theta_nsga2_multiobjective_final_population	final	14	COc1ccccc1C(=O)NCCc1ccccc1F	O=C(NCCc1ccccc1)c1ccccc1	0.7212018966674805	-8.6	0.9093736148936845	1.5673052690756464	273.30699999999996	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.09238566032606468
0	1000	theta_nsga2_multiobjective_final_population	final	16	O=C(Nc1ccccc1C(=O)N1CCOCC1)c1ccccc1F	O=C(Nc1ccccc1C(=O)N1CCOCC1)c1ccccc1	0.7202610969543457	-8.5	0.9418973603774174	1.7587632387726266	328.3429999999999	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.021321190466083533
0	1000	theta_nsga2_multiobjective_final_population	final	21	CC(=O)N1CCc2cc(NC(=O)Cc3ccccc3C)ccc21	O=C(Cc1ccccc1)Nc1ccc2c(c1)CCN2	0.7198089361190796	-8.7	0.9470263635189201	1.925895512618803	308.38100000000003	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.06872249176739918
0	1000	theta_nsga2_multiobjective_final_population	final	24	COc1cccc(CNC(=O)c2cc(C)cc(C)c2)c1	O=C(NCc1ccccc1)c1ccccc1	0.7187585234642029	-8.4	0.924984080473435	1.61384738879803	269.344	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.045317370900096215
0	1000	theta_nsga2_multiobjective_final_population	final	25	CC(=O)N1CCN(C(=O)c2ccccc2Nc2ccccc2)CC1	O=C(c1ccccc1Nc1ccccc1)N1CCNCC1	0.716334342956543	-8.3	0.9447835369463525	1.7511859812475414	323.39600000000013	SEED_ENCODED	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/runs/budget_1000/seed_0/theta_nsga2_multiobjective/snapshots/final_population.csv	1	0.04081678349587025
