budget	docking_component	elapsed_seconds	evaluated	generations	modes_lt_minus10	modes_lt_minus9	n_unique	objective_max	objective_mean	pct_lt_minus10	pct_lt_minus9	seed	source_file	strategy
1000	quickvina2_gpu	3309.314764738083	1000	47	2.0	10.0	1000	0.7443340420722961	0.7123792356252671	2.0	22.0	0	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	4441.659594535828	1000	47	1.0	22.0	1000	0.7387243509292603	0.7115055054426194	1.0	46.0	1	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed1/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	4280.327197551727	1000	47	4.0	27.0	1000	0.7458948493003845	0.7180334264039994	7.0	70.0	2	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed2/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	5033.9752678871155	1000	47	2.0	19.0	1000	0.7270159721374512	0.7013171404600144	2.0	23.0	3	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed3/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	4661.056554079056	1000	47	4.0	18.0	1000	0.7547330856323242	0.7070145374536514	4.0	27.0	4	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed4/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	4472.447358369827	1000	47	4.0	23.0	1000	0.7495112419128418	0.7148457109928131	7.0	60.0	5	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed5/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	4278.1128516197205	1000	47	3.0	17.0	1000	0.7379384636878967	0.7040235096216202	3.0	43.0	6	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed6/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	5141.473137378693	1000	47	1.0	19.0	1000	0.7387243509292603	0.7042664849758148	1.0	46.0	7	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed7/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	4682.577975511551	1000	47	2.0	19.0	1000	0.7312949895858765	0.6980022579431534	2.0	28.0	8	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	4601.525892972946	1000	47	1.0	29.0	1000	0.7236847281455994	0.7008242791891098	1.0	39.0	9	PORTABLE_USER_ROOT/spectralMol/saturn_theta_auto_tune/20260817_013350/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed9/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
