condition	task_index	task	n_molecules	mean_best_parent_tanimoto	scaffold_changed_fraction	same_scaffold_functional_group_changed_fraction	mean_abs_heavy_atom_delta	mean_abs_ring_delta
low-only	13	Perindopril_MPO	600	0.1083349139005312	0.9966666666666667	0.0033333333333333335	12.473333333333333	2.2216666666666667
random-matrix	13	Perindopril_MPO	600	0.15024490018410147	0.9966666666666667	0.0033333333333333335	14.655	1.8666666666666667
full-spectrum	14	Amlodipine_MPO	600	0.08393961098833375	1.0	0.0	5.818333333333333	0.6566666666666666
high-only	14	Amlodipine_MPO	600	0.08247576453638737	1.0	0.0	16.44333333333333	1.245
low-only	14	Amlodipine_MPO	600	0.5018117904204507	0.9816666666666667	0.016666666666666666	3.816666666666667	0.27166666666666667
random-matrix	14	Amlodipine_MPO	600	0.5133963873160099	0.9816666666666667	0.015	4.67	0.21666666666666667
full-spectrum	15	Sitagliptin_MPO	600	0.12395341192646024	0.9983333333333333	0.0016666666666666668	1.9666666666666666	0.41
high-only	15	Sitagliptin_MPO	600	0.049825065545793995	0.9983333333333333	0.0016666666666666668	10.273333333333333	2.195
low-only	15	Sitagliptin_MPO	600	0.18505003522436708	0.94	0.04666666666666667	1.675	0.4083333333333333
random-matrix	15	Sitagliptin_MPO	600	0.25171173626085785	0.8716666666666667	0.12333333333333334	2.5883333333333334	0.7633333333333333
full-spectrum	16	Zaleplon_MPO	600	0.3685284375775495	0.585	0.36333333333333334	1.76	1.0516666666666667
high-only	16	Zaleplon_MPO	600	0.47724597712057354	0.38333333333333336	0.5433333333333333	3.203333333333333	1.0216666666666667
low-only	16	Zaleplon_MPO	600	0.565306952209637	0.25666666666666665	0.6666666666666666	1.87	0.475
random-matrix	16	Zaleplon_MPO	600	0.7007580070196359	0.04833333333333333	0.825	0.925	0.041666666666666664
full-spectrum	17	Valsartan_smarts	600	0.10472877505941046	1.0	0.0	2.5316666666666667	0.735
high-only	17	Valsartan_smarts	600	0.04440402291779211	0.9983333333333333	0.0016666666666666668	14.316666666666666	2.8016666666666667
low-only	17	Valsartan_smarts	600	0.07416587043985594	0.9983333333333333	0.0016666666666666668	7.63	2.256666666666667
random-matrix	17	Valsartan_smarts	600	0.2090330076740937	0.8716666666666667	0.11166666666666666	5.498333333333333	1.2216666666666667
full-spectrum	18	Deco_hop	600	0.09763639933719453	0.995	0.005	8.541666666666666	2.7866666666666666
high-only	18	Deco_hop	600	0.04102165660185192	1.0	0.0	17.998333333333335	4.045
low-only	18	Deco_hop	600	0.10262636395056321	0.975	0.025	8.806666666666667	2.9483333333333333
random-matrix	18	Deco_hop	600	0.16132029763429798	0.8583333333333333	0.13166666666666665	9.15	2.9366666666666665
full-spectrum	19	Scaffold_hop	600	0.6676305797080878	0.02666666666666667	0.615	1.4966666666666666	0.018333333333333333
high-only	19	Scaffold_hop	600	0.21943725703246264	0.7966666666666666	0.18	13.216666666666667	2.545
low-only	19	Scaffold_hop	600	0.6937465018811062	0.065	0.8833333333333333	2.4166666666666665	0.065
random-matrix	19	Scaffold_hop	600	0.7271326149489338	0.12	0.75	1.7133333333333334	0.10666666666666667
