condition	n_molecules	n_tasks	n_seeds	mean_score	std_score	mean_best_parent_tanimoto	std_best_parent_tanimoto	scaffold_changed_fraction	same_scaffold_fraction	functional_group_changed_fraction	same_scaffold_functional_group_changed_fraction	mean_functional_group_delta_l1	mean_abs_heavy_atom_delta	mean_abs_ring_delta	mean_abs_aromatic_ring_delta	mean_abs_hetero_atom_delta	mean_abs_rotatable_bond_delta	mean_abs_tpsa_delta	mean_abs_logp_delta
full-spectrum	12000	20	6	0.5525067642735958	0.3028816468550537	0.3716766302312532	0.30212660059946156	0.5913333333333334	0.4086666666666667	0.87175	0.29058333333333336	8.762166666666667	3.7314166666666666	0.7080833333333333	0.6095833333333334	1.41425	2.3520833333333333	17.246122500000162	0.9124962433333355
high-only	12000	20	6	0.28869576865406665	0.27496073825516587	0.222802557644755	0.23744345022080296	0.83175	0.16825	0.9623333333333334	0.14241666666666666	12.8475	11.958666666666666	1.8763333333333334	1.4646666666666666	3.120833333333333	2.784666666666667	34.93693499999986	1.6020655466666713
low-only	12000	20	6	0.5951872916207552	0.3037278333852265	0.421358621470323	0.28669431295341596	0.56925	0.43075	0.92875	0.37766666666666665	8.749	3.9916666666666667	0.7215833333333334	0.5119166666666667	1.4168333333333334	2.4999166666666666	17.034075000000342	0.8772150925
random-matrix	12000	20	6	0.5620763472122029	0.31899631443849924	0.4685191495595718	0.2867672910044224	0.51525	0.48475	0.9055833333333333	0.40125	7.601583333333333	4.48075	0.7136666666666667	0.5041666666666667	1.43	1.6996666666666667	18.070399166666693	0.8838567824999991
